Author,Countries
A.G. Riddle,[]
Adam Lashinsky,['United States of America']
Adrian Tchaikovsky,['United Kingdom']
Agatha Christie,"['United Kingdom of Great Britain and Ireland', 'United Kingdom']"
Alan Moore,"['Australia', 'Republic of Ireland', 'United Kingdom of Great Britain and Ireland', 'United Kingdom', 'Russia']"
Albert Camus,['France']
Alberto Brandolini,['Italy']
Aldous Huxley,['United Kingdom']
Alexandre Dumas,"['Haiti', 'Canada', 'France']"
Amina Elmi,[]
Amor Towles,['United States of America']
Amy C. Edmondson,['United States of America']
Andy Weir,"['United Kingdom', 'United States of America']"
Ann Leckie,['United States of America']
Anne Rice,['United States of America']
Anthony Doerr,['United States of America']
Antoine de Saint-Exupéry,['France']
Arthur C. Clarke,['United Kingdom']
Astrid Lindgren,['Sweden']
Atul Gawande,['United States of America']
B.V. Larson,[]
Becky Chambers,['United States of America']
Belinda Bauer,"['Australia', 'United Kingdom', 'United States of America']"
Ben H. Winters,['United States of America']
Benjamín Labatut,"['Kingdom of the Netherlands', 'Chile']"
Bent Flyvbjerg,['Denmark']
Betty Smith,"['United Kingdom', 'United States of America']"
Bill Bryson,"['Australia', 'United States of America']"
Blake Crouch,['United States of America']
Bram Stoker,['United Kingdom of Great Britain and Ireland']
Brandon Sanderson,['United States of America']
Brant Cooper,[]
Brian Christian,['United States of America']
Brian K. Vaughan,['United States of America']
Bryan O'Sullivan,['Republic of Ireland']
C.S. Lewis,['United Kingdom']
Camille Fournier,['France']
Charles Duhigg,['United States of America']
Charles Stross,['United Kingdom']
Chelsea Cain,['United States of America']
China Miéville,['United Kingdom']
Chris Kraus,"['Germany', 'United States of America']"
Christian Jungersen,['Denmark']
Christian Ørsted,[]
Christina Wodtke,[]
Christopher McDougall,['United States of America']
Chuck Dixon,['United States of America']
Clay Shirky,['United States of America']
Conn Iggulden,['United Kingdom']
Cory Doctorow,"['Canada', 'United Kingdom', 'United States of America']"
Dan Ariely,"['Israel', 'United States of America']"
Dan Brown,"['Kingdom of England', 'United Kingdom', 'United States of America']"
Dan Simmons,['United States of America']
Daniel H. Pink,['United States of America']
Daniel H. Wilson,['United States of America']
Daniel Kahneman,"['Israel', 'United States of America']"
Daniel S. Vacanti,[]
Daniel Suarez,"['Mexico', 'United States of America']"
David A. Leeming,[]
David Allen,"['Australia', 'Republic of Ireland', 'Kingdom of Great Britain', 'United Kingdom', 'United States of America']"
David B.,['France']
David Baldacci,['United States of America']
David Epstein,"['Australia', 'United Kingdom', 'United States of America']"
David Graeber,['United States of America']
David Lagercrantz,['Sweden']
David Petersen,"['Wales', 'Dutch Republic', 'Canada', 'United Kingdom', 'United States of America', 'Germany']"
Dennis E. Taylor,[]
Dinaw Mengestu,['United States of America']
Donato Carrisi,['Italy']
Donella H. Meadows,['United States of America']
Dorthe Nors,['Denmark']
Douglas Adams,"['United Kingdom of Great Britain and Ireland', 'United Kingdom', 'United States of America']"
Douglas Coupland,['Canada']
Edgar H. Schein,"['Switzerland', 'United States of America']"
Edward Snowden,"['Canada', 'Russia', 'United States of America']"
Eliyahu M. Goldratt,['Israel']
Elly Griffiths,['United Kingdom']
Emily Brontë,['United Kingdom of Great Britain and Ireland']
Emily St. John Mandel,"['Canada', 'United States of America']"
Eric Evans,"['United Kingdom of Great Britain and Ireland', 'United Kingdom', 'United States of America']"
Eric Ries,['United States of America']
Erlend Loe,['Norway']
Ernest Cline,['United States of America']
Ernest Hemingway,['United States of America']
Euripides,['Classical Athens']
F. Scott Fitzgerald,['United States of America']
Frank Herbert,['United States of America']
Franz Kafka,"['Czechoslovakia', 'Cisleithania']"
Frederick P. Brooks Jr.,['United States of America']
Fredrik Backman,['Sweden']
Fyodor Dostoevsky,['Russian Empire']
Gabriel García Márquez,['Colombia']
Gene Kim,['United States of America']
Geoffrey B. West,['United Kingdom']
George Lakoff,['United States of America']
George Orwell,"['United Kingdom of Great Britain and Ireland', 'United Kingdom']"
George R.R. Martin,['United States of America']
Gillian Flynn,['United States of America']
Glenn Bech,['Kingdom of Denmark']
Glenn Cooper,['United States of America']
Glenn Greenwald,['United States of America']
Greg Egan,['Australia']
Guillermo del Toro,['Mexico']
Halfdan Rasmussen,['Kingdom of Denmark']
Hannu Rajaniemi,['Finland']
Hans Rosling,['Sweden']
Hans Scherfig,['Denmark']
Haruki Murakami,['Japan']
Helen Beal,[]
Helle Helle,['Kingdom of Denmark']
Henrik Kniberg,[]
Henrik Nordbrandt,['Denmark']
Henrik Pontoppidan,"['Kingdom of Denmark', 'Denmark']"
Henry David Thoreau,['United States of America']
Herman Melville,['United States of America']
Hugh Howey,['United States of America']
Håkan Nesser,['Sweden']
Iain Banks,['United Kingdom']
Iain M. Banks,['United Kingdom']
Ian Rankin,['United Kingdom']
Ian Tregillis,['United States of America']
Iben Krarup Høgsberg,[]
Ida Holmegaard,[]
Ijeoma Oluo,['United States of America']
Ildefonso Falcones,['Spain']
Inger Christensen,['Kingdom of Denmark']
Isaac Asimov,"['Russian Soviet Federative Socialist Republic', 'Russian Socialist Federative Soviet Republic', 'United States of America']"
Isabel Wilkerson,['United States of America']
J.K. Rowling,[]
J.R.R. Tolkien,['United Kingdom']
Jack Campbell,"['Australia', 'Canada', 'United Kingdom', 'United States of America']"
James Crumley,"['United Kingdom of Great Britain and Ireland', 'United Kingdom', 'United States of America']"
James Joyce,"['Australia', 'Republic of Ireland', 'United Kingdom of Great Britain and Ireland', 'United Kingdom', 'United States of America']"
James P. Womack,['United States of America']
Jan Guillou,"['Sweden', 'France']"
Jeff Patton,[]
Jeff Sutherland,['United States of America']
Jeff VanderMeer,['United States of America']
Jennifer Foehner Wells,['United States of America']
Jim Benson,['United States of America']
Jim Butcher,['United States of America']
Jo Nesbø,['Norway']
Joe Abercrombie,['United Kingdom']
Joe Soll,[]
Johan Harstad,['Norway']
Johann Hari,['United Kingdom']
Johannes V. Jensen,['Kingdom of Denmark']
John Ousterhout,['United States of America']
John Scalzi,['United States of America']
John Steinbeck,['United States of America']
John Twelve Hawks,['United States of America']
John Verdon,['United States of America']
John le Carré,"['Republic of Ireland', 'United Kingdom']"
Johnny Cash,['United States of America']
Jonathan Franzen,['United States of America']
Jonathan Renshaw,[]
Jonathan Safran Foer,['United States of America']
Jonathan Smart,[]
Joseph DiBella,[]
Jostein Gaarder,['Norway']
Jussi Adler-Olsen,['Kingdom of Denmark']
Karl Ove Knausgård,['Norway']
Karoline Stjernfelt,[]
Karyl McBride,[]
Katinka Agger,[]
Kazuo Ishiguro,"['Japan', 'United Kingdom']"
Ken Follett,"['Wales', 'United Kingdom']"
